start_date,end_date,ip_address,duration_in_seconds,recorded_date,response_id,location_latitude,location_longitude,q_recaptcha_score,intro_info,degree,degree_type,english_level_degree_1,gender,gender_other,language_1,age_1,ada_familiarity_1,q1_prop_1,q2_prop_1,q3_prop_1,q4_prop_1,q5_prop_1,q6_prop_1,q1_anx_1,q2_anx_1,q3_anx_1,q4_anx_1,q5_anx_1,q6_anx_1,q7_anx_1,q8_anx_1,q1_p_ai_1,q2_p_ai_1,q3_p_ai_1,q4_ado_ai_1,q5_ado_ai_1,q6_ado_ai_1,q1_llms,q1_if_other,q3_usage,q1_if_no_none_1,q2_if_none,country
2024-02-23,2024-02-23,82.128.141.38,426,2024-02-23,R_6eDZ6K0SdQezeuP,65.0121,25.4753,1,"Yes, I consent to participate in this study",Bachelor of Science in Occupational Therapy,Both online and in-person,50,Male,NA,9,33,8,2.94,4.67,4.65,3.28,4.48,1.88,4.55,1.01,0.94,0.75,2.8,1.19,2.91,6,9.13,10,10,10,10,10,ChatGPT,NA,getting ideas for essays,8.17,NA,finland
2024-02-23,2024-02-23,85.76.50.41,764,2024-02-23,R_1E6yTjuHeJj9XPt,60.1797,24.9344,1,"Yes, I consent to participate in this study","occupational therapy, bachelor's degree",Both online and in-person,61.3,Female,NA,4.06,30,2.96,1.97,1.87,1.29,2.81,2.78,1.87,6.99,6.3,7.19,6.13,7.17,4.88,8.22,6.3,0,3.83,2.8,1.91,0.86,0.71,None,NA,NA,NA,This is the first time I have heard of LLM. I'm not sure what those are.,finland
2024-02-23,2024-02-23,193.167.144.186,414,2024-02-23,R_1yFI4DKQwtINtuN,65.005,25.617,1,"Yes, I consent to participate in this study",postgraduate degree in educational sciences,Both online and in-person,82.03,Male,NA,8.17,48,9.38,5.81,5.87,6.25,5.97,5.13,1.61,0.52,0,0.59,0.91,0.59,0,0.86,0.17,1.49,8.68,9.35,9.35,10,3.62,Other,All of the above,There are dozens of examples,6.84,NA,finland
2024-02-23,2024-02-23,87.100.217.231,910,2024-02-23,R_51cKIFe9noZCJDg,65.0121,25.4753,1,"Yes, I consent to participate in this study",Degree Programme in Dental Health Care,In-person,2.9,Female,NA,7,36,3,0,0,0,0,0,0,6.06,6.03,5,6.01,9.1,10,10,6.04,10,6.03,6,1,0,1.81,None,NA,NA,NA,None,finland
2024-02-23,2024-02-23,84.250.6.198,348,2024-02-23,R_70SxmAA44WNobxm,65.013,25.4957,1,"Yes, I consent to participate in this study",Bachelor of Business Information Systems,Both online and in-person,90,Female,NA,9,24,8,8.01,10,8,7,10,0,0,0,0,0,0,0,0,0,10,10,10,10,10,8,ChatGPT,NA,Handling error codes and complex code.,10,NA,finland
2024-02-23,2024-02-23,82.128.139.62,581,2024-02-23,R_12AeStKWiuSTrWC,65.0121,25.4753,1,"Yes, I consent to participate in this study","Bachelor of Business Administration, Business Information Systems",Both online and in-person,80.66,Female,NA,7.58,31,7.8,5.52,3.99,5.21,5.61,4.43,3.26,7.07,5.98,6.81,1.57,5.89,7.07,3.5,10,5.95,6.28,6.04,7.11,6.72,0.88,ChatGPT,NA,"I ask for help with coding problems, and have AI summarize texts that have difficult content in them to check if I have come up with the same bullet points",6.89,NA,finland
2024-02-23,2024-02-23,37.33.209.56,325,2024-02-23,R_3LqShXP77dT3IbL,60.46,22.3119,1,"Yes, I consent to participate in this study",Degree Programme in Nursing and Health Care,Both online and in-person,17.61,Female,NA,9.03,22,8.6,3.52,2.67,2.41,3.07,3.19,3.04,5.47,2.57,3.22,2.72,7.92,2.85,2.49,9.28,8.52,5.16,3.51,2.41,1.68,6.83,None,NA,NA,NA,I dont use those things when studying,finland
2024-02-23,2024-02-23,82.128.196.5,308,2024-02-23,R_2GziPsrfdRZ47iV,60.1797,24.9344,1,"Yes, I consent to participate in this study",Bachelor of business,Both online and in-person,90.42,Male,NA,9,21,8.14,0,0,3.04,0,4.03,2.09,0,0,0,0,0,0,7.07,2.11,0,8.1,8.04,0,7.64,4.9,ChatGPT,NA,Utilizing AI to help in the defining of business terms,7.56,NA,finland
2024-02-23,2024-02-23,85.29.124.137,400,2024-02-23,R_1gZNxfqTY6XXfVW,64.9199,25.4935,1,"Yes, I consent to participate in this study","Mechanical engineer, university of applied sciences",Both online and in-person,10.14,Male,NA,7.67,32,4.99,1.07,6.25,1.88,1.7,1.9,0.81,0,0,0,0,0,0,0,0,9.35,7.83,7.84,8.04,10,8.14,ChatGPT,NA,"For topics that I can verify myself, like arduno code or math formula, or to shortly explain what some concepts mean. I also use it as an aid when I need to google some information, but I cant figure out good search terms.",5,NA,finland
2024-02-23,2024-02-23,193.167.144.30,549,2024-02-23,R_7sdGtHzBCybkSRR,65.005,25.617,1,"Yes, I consent to participate in this study",Lecturer,In-person,10,Male,NA,8.51,64,7.06,8.17,7.78,0,2.83,9.07,6,1.74,1.67,1.88,1.75,1.8,2.17,2.71,8.42,0.9,0,9.13,8.25,9.1,9.17,ChatGPT,NA,I use ChatGPT formin text when I provide data to AI. Technical explanations of AI are rubbish.,0,NA,finland
